status	additions	deletions	path	commits	commit_urls
A	504	0	LICENSE	6202b9704d6b108af30e9c5d187d04de8bbf64f5;96ea8dbfa9561b9539c18f9c230a2532b7b7ed0b	https://github.com/extfuse/extfuse/commit/6202b9704d6b108af30e9c5d187d04de8bbf64f5;https://github.com/extfuse/extfuse/commit/96ea8dbfa9561b9539c18f9c230a2532b7b7ed0b
A	99	0	Makefile	179c03cebbadb209d7e6b75fcc832751d762811d;85db013f1c162d02e3005c9a7553c4894f18ec12;632336a462b0763adce80f3738886f1739be47c4	https://github.com/extfuse/extfuse/commit/179c03cebbadb209d7e6b75fcc832751d762811d;https://github.com/extfuse/extfuse/commit/85db013f1c162d02e3005c9a7553c4894f18ec12;https://github.com/extfuse/extfuse/commit/632336a462b0763adce80f3738886f1739be47c4
A	65	0	README.md	5462699b5414a739bc6c3221157827ac42250334;5b0631c227aa6ea555451a820352d86672225ee4;1ee72455d9834a0ed0e8bcf98920acec04ec3599;aa710d7326df4c61acae0571702022d7809bcb45;0eae308e291b3eda33f0b1acd22decbb84f7247a;6dae5b092b3154e148ba7eaae369df71cac533d7;6f42e814a78c1742798fdbc18b4a4c54ce9763f4;0419beaa40254cda2dbfbd41d711efd2dd8e1006;4635b968672be7e2fdb33deeb1e3eee4a9674b60;3657fa423b5abee2b6e5aad613d62d3080cef548;9778019eb91931c9d359001a76eeef2686143ca2;9a30a391835d7254a3fc1cdac30c9218f2de2f2e;8a742c23dfc4763686968ba8e0eb89bc557b925d;233986ff6ef31a44eca1dbdd7de1a971b1104d99;18291ef49fba78354341f774f9754d66d4d32852;b853870db92b087584b2e904e8846f9832916e27;d2acdb1c8e4531562fc77fe566896e771d03026e	https://github.com/extfuse/extfuse/commit/5462699b5414a739bc6c3221157827ac42250334;https://github.com/extfuse/extfuse/commit/5b0631c227aa6ea555451a820352d86672225ee4;https://github.com/extfuse/extfuse/commit/1ee72455d9834a0ed0e8bcf98920acec04ec3599;https://github.com/extfuse/extfuse/commit/aa710d7326df4c61acae0571702022d7809bcb45;https://github.com/extfuse/extfuse/commit/0eae308e291b3eda33f0b1acd22decbb84f7247a;https://github.com/extfuse/extfuse/commit/6dae5b092b3154e148ba7eaae369df71cac533d7;https://github.com/extfuse/extfuse/commit/6f42e814a78c1742798fdbc18b4a4c54ce9763f4;https://github.com/extfuse/extfuse/commit/0419beaa40254cda2dbfbd41d711efd2dd8e1006;https://github.com/extfuse/extfuse/commit/4635b968672be7e2fdb33deeb1e3eee4a9674b60;https://github.com/extfuse/extfuse/commit/3657fa423b5abee2b6e5aad613d62d3080cef548;https://github.com/extfuse/extfuse/commit/9778019eb91931c9d359001a76eeef2686143ca2;https://github.com/extfuse/extfuse/commit/9a30a391835d7254a3fc1cdac30c9218f2de2f2e;https://github.com/extfuse/extfuse/commit/8a742c23dfc4763686968ba8e0eb89bc557b925d;https://github.com/extfuse/extfuse/commit/233986ff6ef31a44eca1dbdd7de1a971b1104d99;https://github.com/extfuse/extfuse/commit/18291ef49fba78354341f774f9754d66d4d32852;https://github.com/extfuse/extfuse/commit/b853870db92b087584b2e904e8846f9832916e27;https://github.com/extfuse/extfuse/commit/d2acdb1c8e4531562fc77fe566896e771d03026e
A	21	0	bpf/attr.h	179c03cebbadb209d7e6b75fcc832751d762811d;5d25fe1a7e7cc3dfc4f51998a880a8461c44a9d3	https://github.com/extfuse/extfuse/commit/179c03cebbadb209d7e6b75fcc832751d762811d;https://github.com/extfuse/extfuse/commit/5d25fe1a7e7cc3dfc4f51998a880a8461c44a9d3
A	532	0	bpf/extfuse.c	179c03cebbadb209d7e6b75fcc832751d762811d;5c8601d74527bc42d2a6b5c31443eda00b9c9fad;5d25fe1a7e7cc3dfc4f51998a880a8461c44a9d3;d9eb0816e22258854f83d14cff8e37fa1e27bfbf;541f9318cd5843423ee838240b9bc1378a378062;2fbf37608be28269f2597cb148f1d8a03d78d834;b853870db92b087584b2e904e8846f9832916e27	https://github.com/extfuse/extfuse/commit/179c03cebbadb209d7e6b75fcc832751d762811d;https://github.com/extfuse/extfuse/commit/5c8601d74527bc42d2a6b5c31443eda00b9c9fad;https://github.com/extfuse/extfuse/commit/5d25fe1a7e7cc3dfc4f51998a880a8461c44a9d3;https://github.com/extfuse/extfuse/commit/d9eb0816e22258854f83d14cff8e37fa1e27bfbf;https://github.com/extfuse/extfuse/commit/541f9318cd5843423ee838240b9bc1378a378062;https://github.com/extfuse/extfuse/commit/2fbf37608be28269f2597cb148f1d8a03d78d834;https://github.com/extfuse/extfuse/commit/b853870db92b087584b2e904e8846f9832916e27
A	23	0	bpf/lookup.h	179c03cebbadb209d7e6b75fcc832751d762811d;d9eb0816e22258854f83d14cff8e37fa1e27bfbf	https://github.com/extfuse/extfuse/commit/179c03cebbadb209d7e6b75fcc832751d762811d;https://github.com/extfuse/extfuse/commit/d9eb0816e22258854f83d14cff8e37fa1e27bfbf
A	52	0	include/ebpf.h	179c03cebbadb209d7e6b75fcc832751d762811d;c994c397835295b4d15ae09cec0508739312f2f9	https://github.com/extfuse/extfuse/commit/179c03cebbadb209d7e6b75fcc832751d762811d;https://github.com/extfuse/extfuse/commit/c994c397835295b4d15ae09cec0508739312f2f9
A	56	0	include/extfuse.h	179c03cebbadb209d7e6b75fcc832751d762811d;c994c397835295b4d15ae09cec0508739312f2f9	https://github.com/extfuse/extfuse/commit/179c03cebbadb209d7e6b75fcc832751d762811d;https://github.com/extfuse/extfuse/commit/c994c397835295b4d15ae09cec0508739312f2f9
A	28	0	include/utils.h	179c03cebbadb209d7e6b75fcc832751d762811d	https://github.com/extfuse/extfuse/commit/179c03cebbadb209d7e6b75fcc832751d762811d
A	136	0	src/ebpf.c	179c03cebbadb209d7e6b75fcc832751d762811d	https://github.com/extfuse/extfuse/commit/179c03cebbadb209d7e6b75fcc832751d762811d
