ref	object	object_type	peeled_object	peeled_type	created_at	subject	original_url	commit_url
refs/heads/ExtFUSE-1.0	5b381d81f0d2a4a37ca4c73a3c8e5e778138b32d	commit			2020-07-25T11:42:57-05:00	Synchronize fuse_init_out with current kernel master	https://github.com/extfuse/libfuse/tree/ExtFUSE-1.0	https://github.com/extfuse/libfuse/commit/5b381d81f0d2a4a37ca4c73a3c8e5e778138b32d
refs/heads/master	86ebe1d2dffdd160936992bf456eaa30de56567a	commit			2019-02-27T21:20:58Z	Travis CI: Use Xenial instead of Trusty.	https://github.com/extfuse/libfuse/tree/master	https://github.com/extfuse/libfuse/commit/86ebe1d2dffdd160936992bf456eaa30de56567a
refs/remotes/origin/ExtFUSE-1.0	5b381d81f0d2a4a37ca4c73a3c8e5e778138b32d	commit			2020-07-25T11:42:57-05:00	Synchronize fuse_init_out with current kernel master	https://github.com/extfuse/libfuse/tree/ExtFUSE-1.0	https://github.com/extfuse/libfuse/commit/5b381d81f0d2a4a37ca4c73a3c8e5e778138b32d
refs/remotes/origin/HEAD	86ebe1d2dffdd160936992bf456eaa30de56567a	commit			2019-02-27T21:20:58Z	Travis CI: Use Xenial instead of Trusty.	https://github.com/extfuse/libfuse	https://github.com/extfuse/libfuse/commit/86ebe1d2dffdd160936992bf456eaa30de56567a
refs/remotes/origin/fuse-2_9_bugfix	df499bf1ce634f6e67d4d366c4475d32143f00f0	commit			2016-06-20T12:55:12-07:00	Released 2.9.7.	https://github.com/extfuse/libfuse/tree/fuse-2_9_bugfix	https://github.com/extfuse/libfuse/commit/df499bf1ce634f6e67d4d366c4475d32143f00f0
refs/remotes/origin/fuse_1_1_bugfix	4db49b5c1c8166f165bd32393b61bf69187aa050	commit			2004-10-14T12:40:35Z	version 1.4	https://github.com/extfuse/libfuse/tree/fuse_1_1_bugfix	https://github.com/extfuse/libfuse/commit/4db49b5c1c8166f165bd32393b61bf69187aa050
refs/remotes/origin/fuse_2_0_bugfix	16d7c0a74e4764576c1b282ecdb8c24252cde500	commit			2004-12-10T11:55:04Z	fix	https://github.com/extfuse/libfuse/tree/fuse_2_0_bugfix	https://github.com/extfuse/libfuse/commit/16d7c0a74e4764576c1b282ecdb8c24252cde500
refs/remotes/origin/fuse_2_2_bugfix	2963d77cee1bd0cc0fa2bb261ed2394ec58e21d2	commit			2005-07-22T12:54:08Z	fix	https://github.com/extfuse/libfuse/tree/fuse_2_2_bugfix	https://github.com/extfuse/libfuse/commit/2963d77cee1bd0cc0fa2bb261ed2394ec58e21d2
refs/remotes/origin/fuse_2_4_bugfix	968f7b933137b49467446283f3f6f17fc3ff993e	commit			2005-11-22T21:45:33Z	new version	https://github.com/extfuse/libfuse/tree/fuse_2_4_bugfix	https://github.com/extfuse/libfuse/commit/968f7b933137b49467446283f3f6f17fc3ff993e
refs/remotes/origin/fuse_2_5_bugfix	d7c3355242f7b5bc144934c97b17ce00835d9bc3	commit			2006-04-10T08:56:41Z	new version	https://github.com/extfuse/libfuse/tree/fuse_2_5_bugfix	https://github.com/extfuse/libfuse/commit/d7c3355242f7b5bc144934c97b17ce00835d9bc3
refs/remotes/origin/fuse_2_6_bugfix	a13323d10b62bafec9075126be8fc5bc02de82f2	commit			2007-05-24T18:51:08Z	fix memory leak on thread creation failure...	https://github.com/extfuse/libfuse/tree/fuse_2_6_bugfix	https://github.com/extfuse/libfuse/commit/a13323d10b62bafec9075126be8fc5bc02de82f2
