status	additions	deletions	path	commits	commit_urls
A	4	0	Documentation/filesystems/extfuse.txt	b7923d63a0e50b1dbbb71b932ab2c9802d18e28a	https://github.com/extfuse/linux/commit/b7923d63a0e50b1dbbb71b932ab2c9802d18e28a
M	9	0	MAINTAINERS	b7923d63a0e50b1dbbb71b932ab2c9802d18e28a	https://github.com/extfuse/linux/commit/b7923d63a0e50b1dbbb71b932ab2c9802d18e28a
M	11	0	fs/fuse/Kconfig	b7923d63a0e50b1dbbb71b932ab2c9802d18e28a	https://github.com/extfuse/linux/commit/b7923d63a0e50b1dbbb71b932ab2c9802d18e28a
M	1	0	fs/fuse/Makefile	b7923d63a0e50b1dbbb71b932ab2c9802d18e28a	https://github.com/extfuse/linux/commit/b7923d63a0e50b1dbbb71b932ab2c9802d18e28a
M	3	0	fs/fuse/dev.c	b7923d63a0e50b1dbbb71b932ab2c9802d18e28a	https://github.com/extfuse/linux/commit/b7923d63a0e50b1dbbb71b932ab2c9802d18e28a
A	330	0	fs/fuse/extfuse.c	b7923d63a0e50b1dbbb71b932ab2c9802d18e28a;985ed2ef4735fc6858d87bdca379988138f954ab;29e12e0e834627658bb26be16e7d2ff9bfa2db1c;532b9f6a88f30b653a86d26b4186a7f2fafdf6ce;80a1aa49bf53f47b56429ccc1bf4a10b42e6c80f;164663eb9f6bf2bb9af34cb28660add8c444f964;2fab85b8c7e01b87911b9da1c2b4de810f7a9e07;2473946e1ce922e9106e808f98d4e44d249e0cf2	https://github.com/extfuse/linux/commit/b7923d63a0e50b1dbbb71b932ab2c9802d18e28a;https://github.com/extfuse/linux/commit/985ed2ef4735fc6858d87bdca379988138f954ab;https://github.com/extfuse/linux/commit/29e12e0e834627658bb26be16e7d2ff9bfa2db1c;https://github.com/extfuse/linux/commit/532b9f6a88f30b653a86d26b4186a7f2fafdf6ce;https://github.com/extfuse/linux/commit/80a1aa49bf53f47b56429ccc1bf4a10b42e6c80f;https://github.com/extfuse/linux/commit/164663eb9f6bf2bb9af34cb28660add8c444f964;https://github.com/extfuse/linux/commit/2fab85b8c7e01b87911b9da1c2b4de810f7a9e07;https://github.com/extfuse/linux/commit/2473946e1ce922e9106e808f98d4e44d249e0cf2
A	85	0	fs/fuse/extfuse_i.h	b7923d63a0e50b1dbbb71b932ab2c9802d18e28a;985ed2ef4735fc6858d87bdca379988138f954ab;2473946e1ce922e9106e808f98d4e44d249e0cf2	https://github.com/extfuse/linux/commit/b7923d63a0e50b1dbbb71b932ab2c9802d18e28a;https://github.com/extfuse/linux/commit/985ed2ef4735fc6858d87bdca379988138f954ab;https://github.com/extfuse/linux/commit/2473946e1ce922e9106e808f98d4e44d249e0cf2
M	3	0	fs/fuse/fuse_i.h	b7923d63a0e50b1dbbb71b932ab2c9802d18e28a	https://github.com/extfuse/linux/commit/b7923d63a0e50b1dbbb71b932ab2c9802d18e28a
M	7	1	fs/fuse/inode.c	b7923d63a0e50b1dbbb71b932ab2c9802d18e28a	https://github.com/extfuse/linux/commit/b7923d63a0e50b1dbbb71b932ab2c9802d18e28a
M	3	0	include/linux/bpf_types.h	b7923d63a0e50b1dbbb71b932ab2c9802d18e28a	https://github.com/extfuse/linux/commit/b7923d63a0e50b1dbbb71b932ab2c9802d18e28a
M	4	1	include/uapi/linux/bpf.h	b7923d63a0e50b1dbbb71b932ab2c9802d18e28a	https://github.com/extfuse/linux/commit/b7923d63a0e50b1dbbb71b932ab2c9802d18e28a
A	19	0	include/uapi/linux/extfuse.h	b7923d63a0e50b1dbbb71b932ab2c9802d18e28a	https://github.com/extfuse/linux/commit/b7923d63a0e50b1dbbb71b932ab2c9802d18e28a
M	3	1	include/uapi/linux/fuse.h	b7923d63a0e50b1dbbb71b932ab2c9802d18e28a	https://github.com/extfuse/linux/commit/b7923d63a0e50b1dbbb71b932ab2c9802d18e28a
M	18	0	samples/bpf/bpf_load.c	b7923d63a0e50b1dbbb71b932ab2c9802d18e28a	https://github.com/extfuse/linux/commit/b7923d63a0e50b1dbbb71b932ab2c9802d18e28a
M	4	1	tools/include/uapi/linux/bpf.h	d95ca8642fce0214cf2ebaaa792ba538d4d8381d	https://github.com/extfuse/linux/commit/d95ca8642fce0214cf2ebaaa792ba538d4d8381d
M	4	0	tools/testing/selftests/bpf/bpf_helpers.h	b7923d63a0e50b1dbbb71b932ab2c9802d18e28a	https://github.com/extfuse/linux/commit/b7923d63a0e50b1dbbb71b932ab2c9802d18e28a
